SSC_CODE_2016,SSC_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,RATIO,PERCENTAGE
10001,Aarons Pass,103,Central West,1,100
10002,Abbotsbury,127,Sydney - South West,1,100
10003,Abbotsford (NSW),120,Sydney - Inner West,1,100
10004,Abercrombie,103,Central West,1,100
10005,Abercrombie River,103,Central West,1,100
10006,Aberdare,106,Hunter Valley exc Newcastle,1,100
10007,Aberdeen (NSW),106,Hunter Valley exc Newcastle,1,100
10008,Aberfoyle,110,New England and North West,1,100
10009,Aberglasslyn,106,Hunter Valley exc Newcastle,1,100
10010,Abermain,106,Hunter Valley exc Newcastle,1,100
10011,Abernethy,106,Hunter Valley exc Newcastle,1,100
10012,Abington (NSW),110,New England and North West,1,100
10013,Acacia Creek,110,New England and North West,1,100
10014,Acacia Gardens,116,Sydney - Blacktown,1,100
10015,Adaminaby,101,Capital Region,1,100
10016,Adamstown,111,Newcastle and Lake Macquarie,1,100
10017,Adamstown Heights,111,Newcastle and Lake Macquarie,1,100
10018,Adelong,113,Riverina,1,100
10019,Adjungbilly,113,Riverina,1,100
10020,Afterlee,112,Richmond - Tweed,1,100
10021,Agnes Banks,124,Sydney - Outer West and Blue Mountains,1,100
10022,Airds,123,Sydney - Outer South West,1,100
10023,Akolele,101,Capital Region,1,100
10024,Albert,103,Central West,1,100
10025,Albion Park,107,Illawarra,1,100
10026,Albion Park Rail,107,Illawarra,1,100
10027,Albury,109,Murray,1,100
10028,Aldavilla,108,Mid North Coast,1,100
10029,Alectown,103,Central West,1,100
10030,Alexandria,117,Sydney - City and Inner South,1,100
10031,Alfords Point,128,Sydney - Sutherland,1,100
10032,Alfredtown,113,Riverina,1,100
10033,Alice,104,Coffs Harbour - Grafton,1,100
10034,Alison (Central Coast - NSW),102,Central Coast,1,100
10035,Alison (Dungog - NSW),106,Hunter Valley exc Newcastle,1,100
10036,Allambie Heights,122,Sydney - Northern Beaches,1,100
10037,Allandale (NSW),106,Hunter Valley exc Newcastle,1,100
10038,Allawah,119,Sydney - Inner South West,1,100
10039,Alleena,103,Central West,1,100
10040,Allgomera,108,Mid North Coast,1,100
10041,Allworth,108,Mid North Coast,1,100
10042,Allynbrook,106,Hunter Valley exc Newcastle,1,100
10043,Alma Park,109,Murray,1,100
10044,Alpine,114,Southern Highlands and Shoalhaven,1,100
10045,Alstonvale,112,Richmond - Tweed,1,100
10046,Alstonville,112,Richmond - Tweed,1,100
10047,Alumy Creek,104,Coffs Harbour - Grafton,1,100
10048,Amaroo (NSW),103,Central West,1,100
10049,Ambarvale,123,Sydney - Outer South West,1,100
10050,Amosfield,110,New England and North West,1,100
10051,Anabranch North,109,Murray,1,100
10052,Anabranch South,109,Murray,1,100
10053,Anambah,106,Hunter Valley exc Newcastle,1,100
10054,Ando,101,Capital Region,1,100
10055,Anembo,101,Capital Region,1,100
10056,Angledale,101,Capital Region,1,100
10057,Angledool,105,Far West and Orana,1,100
10058,Anglers Reach,101,Capital Region,1,100
10059,Angourie,104,Coffs Harbour - Grafton,1,100
10060,Anna Bay,106,Hunter Valley exc Newcastle,1,100
10061,Annandale (NSW),117,Sydney - City and Inner South,0.0043423,0.4342299
10061,Annandale (NSW),120,Sydney - Inner West,0.9956577,99.5657701
10062,Annangrove,115,Sydney - Baulkham Hills and Hawkesbury,1,100
10063,Appin (NSW),123,Sydney - Outer South West,1,100
10064,Apple Tree Flat,103,Central West,1,100
10065,Appleby,110,New England and North West,1,100
10066,Appletree Flat,106,Hunter Valley exc Newcastle,1,100
10067,Apsley (NSW),105,Far West and Orana,1,100
10068,Arable,101,Capital Region,1,100
10069,Arakoon,108,Mid North Coast,1,100
10070,Araluen (NSW),101,Capital Region,1,100
10071,Aratula (NSW),109,Murray,1,100
10072,Arcadia (NSW),115,Sydney - Baulkham Hills and Hawkesbury,1,100
10073,Arcadia Vale,111,Newcastle and Lake Macquarie,1,100
10074,Ardglen,110,New England and North West,1,100
10075,Arding,110,New England and North West,1,100
10076,Ardlethan,103,Central West,0.0516252,5.1625239
10076,Ardlethan,113,Riverina,0.9483748,94.8374761
10077,Argalong,113,Riverina,1,100
10078,Argenton,111,Newcastle and Lake Macquarie,1,100
10079,Argents Hill,108,Mid North Coast,1,100
10080,Argoon (NSW),109,Murray,0.4285714,42.8571429
10080,Argoon (NSW),113,Riverina,0.5714286,57.1428571
10081,Ariah Park,103,Central West,0.1042945,10.4294536
10081,Ariah Park,113,Riverina,0.8957055,89.5705464
10082,Arkell,103,Central West,1,100
10083,Arkstone,103,Central West,1,100
10084,Armatree,105,Far West and Orana,1,100
10085,Armidale,110,New England and North West,1,100
10086,Arncliffe,119,Sydney - Inner South West,1,100
10087,Arndell Park,116,Sydney - Blacktown,1,100
10088,Arrawarra,104,Coffs Harbour - Grafton,1,100
10089,Arrawarra Headland,104,Coffs Harbour - Grafton,1,100
10090,Artarmon,121,Sydney - North Sydney and Hornsby,1,100
10091,Arthurville,105,Far West and Orana,1,100
10092,Arumpo,109,Murray,1,100
10093,Ashbury,120,Sydney - Inner West,1,100
10094,Ashby (NSW),104,Coffs Harbour - Grafton,1,100
10095,Ashby Heights,104,Coffs Harbour - Grafton,1,100
10096,Ashby Island,104,Coffs Harbour - Grafton,1,100
10097,Ashcroft,127,Sydney - South West,1,100
10098,Ashfield (NSW),120,Sydney - Inner West,1,100
10099,Ashford (NSW),110,New England and North West,1,100
10100,Ashley,110,New England and North West,1,100
10101,Ashmont,113,Riverina,1,100
10102,Ashtonfield,106,Hunter Valley exc Newcastle,1,100
10103,Asquith,121,Sydney - North Sydney and Hornsby,1,100
10104,Atholwood,110,New England and North West,1,100
10105,Attunga,110,New England and North West,1,100
10106,Auburn (NSW),125,Sydney - Parramatta,1,100
10107,Auburn Vale,110,New England and North West,1,100
10108,Austinmer,107,Illawarra,1,100
10109,Austral,127,Sydney - South West,1,100
10110,Austral Eden,108,Mid North Coast,1,100
10111,Avalon Beach,122,Sydney - Northern Beaches,1,100
10112,Avisford,103,Central West,1,100
10113,Avoca (NSW),114,Southern Highlands and Shoalhaven,1,100
10114,Avoca Beach,102,Central Coast,1,100
10115,Avon (NSW),107,Illawarra,1,100
10116,Avondale (NSW),107,Illawarra,1,100
10117,Avonside,101,Capital Region,1,100
10118,Awaba,111,Newcastle and Lake Macquarie,1,100
10119,Aylmerton,114,Southern Highlands and Shoalhaven,1,100
10120,Baan Baa,110,New England and North West,1,100
10121,Babinda (NSW),105,Far West and Orana,1,100
10122,Babyl Creek,112,Richmond - Tweed,1,100
10123,Back Creek (Bland - NSW),103,Central West,1,100
10124,Back Creek (Gwydir - NSW),110,New England and North West,1,100
10125,Back Creek (Mid-Coast - NSW),108,Mid North Coast,1,100
10126,Back Creek (Queanbeyan-Palerang Regional - NSW),101,Capital Region,1,100
10127,Back Creek (Tenterfield - NSW),110,New England and North West,1,100
10128,Back Creek (Tweed - NSW),112,Richmond - Tweed,1,100
10129,Back Forest,114,Southern Highlands and Shoalhaven,1,100
10130,Backmede,112,Richmond - Tweed,1,100
10131,Backwater,110,New England and North West,1,100
10132,Badgerys Creek,124,Sydney - Outer West and Blue Mountains,0.0748898,7.4889841
10132,Badgerys Creek,127,Sydney - South West,0.9251102,92.5110159
10133,Badja,101,Capital Region,1,100
10134,Baerami,106,Hunter Valley exc Newcastle,1,100
10135,Baerami Creek,106,Hunter Valley exc Newcastle,1,100
10136,Bagnoo,108,Mid North Coast,1,100
10137,Bago,108,Mid North Coast,1,100
10138,Bagotville,112,Richmond - Tweed,1,100
10139,Bakers Creek (Mid-Coast - NSW),108,Mid North Coast,1,100
10140,Bakers Creek (Nambucca - NSW),108,Mid North Coast,1,100
10141,Bakers Creek (Uralla - NSW),110,New England and North West,1,100
10142,Bakers Swamp,105,Far West and Orana,1,100
10143,Balaclava (NSW),114,Southern Highlands and Shoalhaven,1,100
10144,Balala,110,New England and North West,1,100
10145,Balcolyn,111,Newcastle and Lake Macquarie,1,100
10146,Bald Blair,110,New England and North West,1,100
10147,Bald Hills (NSW),101,Capital Region,1,100
10148,Bald Nob,110,New England and North West,1,100
10149,Bald Ridge,103,Central West,1,100
10150,Baldersleigh,110,New England and North West,1,100
10151,Baldry,103,Central West,1,100
10152,Balfours Peak,110,New England and North West,1,100
10153,Balgowlah,122,Sydney - Northern Beaches,1,100
10154,Balgowlah Heights,122,Sydney - Northern Beaches,1,100
10155,Balgownie,107,Illawarra,1,100
10156,Balickera,106,Hunter Valley exc Newcastle,1,100
10157,Balladoran,105,Far West and Orana,1,100
10158,Ballalaba,101,Capital Region,1,100
10159,Balldale,109,Murray,1,100
10160,Ballengarra,108,Mid North Coast,1,100
10161,Ballimore,105,Far West and Orana,1,100
10162,Ballina,112,Richmond - Tweed,1,100
10163,Ballyroe,103,Central West,1,100
10164,Balmain,120,Sydney - Inner West,1,100
10165,Balmain East,120,Sydney - Inner West,1,99.9999995
10166,Balmoral (Lake Macquarie - NSW),111,Newcastle and Lake Macquarie,1,100
10167,Balmoral (Wingecarribee - NSW),114,Southern Highlands and Shoalhaven,1,100
10168,Balranald,109,Murray,1,100
10169,Bamarang,114,Southern Highlands and Shoalhaven,1,100
10170,Banda Banda,108,Mid North Coast,1,100
10171,Bandon Grove,106,Hunter Valley exc Newcastle,1,100
10172,Bangadang,113,Riverina,1,100
10173,Bangalee (NSW),114,Southern Highlands and Shoalhaven,1,100
10174,Bangalow,112,Richmond - Tweed,1,100
10175,Bangheet,110,New England and North West,1,100
10176,Bango,101,Capital Region,1,100
10177,Bangor (NSW),128,Sydney - Sutherland,1,100
10178,Banksia,119,Sydney - Inner South West,1,100
10179,Banksmeadow,117,Sydney - City and Inner South,1,100
10180,Bankstown,119,Sydney - Inner South West,1,100
10181,Bankstown Aerodrome,119,Sydney - Inner South West,1,100
10182,Bannaby,101,Capital Region,1,100
10183,Bannister (NSW),101,Capital Region,1,100
10184,Banoon,110,New England and North West,1,100
10185,Banora Point,112,Richmond - Tweed,1,100
10186,Banyabba,104,Coffs Harbour - Grafton,1,100
10187,Bar Beach,111,Newcastle and Lake Macquarie,1,100
10188,Bar Point,102,Central Coast,1,100
10189,Bara,103,Central West,1,100
10190,Baradine,105,Far West and Orana,1,100
10191,Barangaroo,117,Sydney - City and Inner South,1,100
10192,Barcoongere,104,Coffs Harbour - Grafton,1,100
10193,Barden Ridge,128,Sydney - Sutherland,1,100
10194,Bardia,123,Sydney - Outer South West,1,100
10195,Bardwell Park,119,Sydney - Inner South West,1,100
10196,Bardwell Valley,119,Sydney - Inner South West,1,100
10197,Barellan,103,Central West,0.0705009,7.0500937
10197,Barellan,113,Riverina,0.9294991,92.9499063
10198,Bargo,123,Sydney - Outer South West,1,99.9999995
10199,Barham,109,Murray,1,100
10200,Barigan,103,Central West,1,100
10201,Barkers Vale,112,Richmond - Tweed,1,100
10202,Barmedman,103,Central West,0.9274725,92.7472542
10202,Barmedman,113,Riverina,0.0725275,7.2527458
10203,Barneys Reef,103,Central West,1,100
10204,Barnsley,111,Newcastle and Lake Macquarie,1,100
10205,Barooga,109,Murray,1,100
10206,Barraba,110,New England and North West,1,100
10207,Barrack Heights,107,Illawarra,1,100
10208,Barrack Point,107,Illawarra,1,100
10209,Barraganyatti,108,Mid North Coast,1,100
10210,Barragga Bay,101,Capital Region,1,100
10211,Barratta (NSW),109,Murray,1,100
10212,Barren Grounds,107,Illawarra,1,100
10213,Barrengarry,114,Southern Highlands and Shoalhaven,1,100
10214,Barretts Creek,104,Coffs Harbour - Grafton,1,100
10215,Barringella,114,Southern Highlands and Shoalhaven,1,100
10216,Barrington (NSW),108,Mid North Coast,1,100
10217,Barrington Tops,108,Mid North Coast,1,100
10218,Barry (Blayney - NSW),103,Central West,1,100
10219,Barry (Upper Hunter Shire - NSW),110,New England and North West,0.9999975,99.99975
10220,Barwang,101,Capital Region,1,100
10221,Barwon,105,Far West and Orana,1,100
10222,Baryulgil,104,Coffs Harbour - Grafton,1,100
10223,Basin View,114,Southern Highlands and Shoalhaven,1,100
10224,Bass Hill,119,Sydney - Inner South West,0.9887392,98.8739236
10224,Bass Hill,125,Sydney - Parramatta,0.0112608,1.1260764
10225,Bassendean (NSW),110,New England and North West,1,100
10226,Batar Creek,108,Mid North Coast,1,100
10227,Bateau Bay,102,Central Coast,1,100
10228,Batehaven,101,Capital Region,1,100
10229,Batemans Bay,101,Capital Region,1,100
10230,Bathampton,103,Central West,1,100
10231,Bathurst,103,Central West,1,100
10232,Batlow,113,Riverina,1,100
10233,Baulkham Hills,115,Sydney - Baulkham Hills and Hawkesbury,0.9491191,94.9119125
10233,Baulkham Hills,116,Sydney - Blacktown,0.0239678,2.3967786
10233,Baulkham Hills,125,Sydney - Parramatta,0.0269131,2.6913088
10234,Baw Baw (NSW),101,Capital Region,1,100
10235,Bawley Point,114,Southern Highlands and Shoalhaven,1,100
10236,Baxters Ridge,108,Mid North Coast,1,100
10237,Bayview (NSW),122,Sydney - Northern Beaches,1,100
10238,Beacon Hill,122,Sydney - Northern Beaches,1,100
10239,Beaconsfield (NSW),117,Sydney - City and Inner South,1,100
10240,Bean Creek,112,Richmond - Tweed,1,100
10241,Bearbong,105,Far West and Orana,1,100
10242,Beaumont (NSW),114,Southern Highlands and Shoalhaven,1,100
10243,Beaumont Hills,115,Sydney - Baulkham Hills and Hawkesbury,1,100
10244,Beckom,103,Central West,0.2016129,20.1612887
10244,Beckom,113,Riverina,0.7983871,79.8387113
10245,Bective,110,New England and North West,1,100
10246,Bectric,113,Riverina,1,100
10247,Bedgerabong,103,Central West,1,100
10248,Beechwood,108,Mid North Coast,1,100
10249,Beecroft,125,Sydney - Parramatta,0.2758035,27.5803511
10249,Beecroft,126,Sydney - Ryde,0.7241965,72.4196489
10250,Beecroft Peninsula,114,Southern Highlands and Shoalhaven,1,100
10251,Beelbangera,113,Riverina,1,100
10252,Beemunnel,105,Far West and Orana,1,100
10253,Bega,101,Capital Region,1,100
10254,Beggan Beggan,101,Capital Region,1,100
10255,Belanglo,114,Southern Highlands and Shoalhaven,1,100
10256,Belbora,108,Mid North Coast,1,100
10257,Belfield,119,Sydney - Inner South West,1,100
10258,Belford,106,Hunter Valley exc Newcastle,1,100
10259,Belfrayden,113,Riverina,1,100
10260,Belgravia,103,Central West,1,100
10261,Belimbla Park,123,Sydney - Outer South West,1,100
10262,Bell (NSW),124,Sydney - Outer West and Blue Mountains,0.9999996,99.9999583
10263,Bella Vista,115,Sydney - Baulkham Hills and Hawkesbury,1,100
10264,Bellambi,107,Illawarra,1,100
10265,Bellangry,108,Mid North Coast,1,100
10266,Bellata,110,New England and North West,1,100
10267,Bellawongarah,114,Southern Highlands and Shoalhaven,1,100
10268,Bellbird,106,Hunter Valley exc Newcastle,1,100
10269,Bellbird Heights,106,Hunter Valley exc Newcastle,1,100
10270,Bellbrook,108,Mid North Coast,1,100
10271,Bellevue Hill,118,Sydney - Eastern Suburbs,1,100
10272,Bellimbopinni,108,Mid North Coast,1,100
10273,Bellingen,104,Coffs Harbour - Grafton,1,100
10274,Bellmount Forest,101,Capital Region,1,100
10275,Belltrees,106,Hunter Valley exc Newcastle,1,100
10276,Belmont (NSW),111,Newcastle and Lake Macquarie,1,100
10277,Belmont North,111,Newcastle and Lake Macquarie,1,100
10278,Belmont South,111,Newcastle and Lake Macquarie,1,100
10279,Belmore,119,Sydney - Inner South West,1,100
10280,Belmore River,108,Mid North Coast,1,100
10281,Beloka,101,Capital Region,1,100
10282,Belowra,101,Capital Region,1,100
10283,Belrose,122,Sydney - Northern Beaches,1,100
10284,Bemboka,101,Capital Region,1,100
10285,Ben Bullen,103,Central West,1,100
10286,Ben Lomond (NSW),110,New England and North West,1,100
10287,Benandarah,101,Capital Region,1,100
10288,Bendalong,114,Southern Highlands and Shoalhaven,1,100
10289,Bendemeer,110,New England and North West,1,100
10290,Bendick Murrell,101,Capital Region,1,100
10291,Bendolba,106,Hunter Valley exc Newcastle,1,100
10292,Bendoura,101,Capital Region,1,100
10293,Benerembah,113,Riverina,1,100
10294,Bengalla,106,Hunter Valley exc Newcastle,1,100
10295,Bennetts Green,111,Newcastle and Lake Macquarie,1,100
10296,Benolong,105,Far West and Orana,1,100
10297,Bensville,102,Central Coast,1,100
10298,Bentley (NSW),112,Richmond - Tweed,1,100
10299,Berala,125,Sydney - Parramatta,1,100
10300,Berambing,115,Sydney - Baulkham Hills and Hawkesbury,0.8761905,87.6190512
10300,Berambing,124,Sydney - Outer West and Blue Mountains,0.1238095,12.3809488
10301,Beresfield,111,Newcastle and Lake Macquarie,1,100
10302,Bergalia,101,Capital Region,1,100
10303,Berkeley,107,Illawarra,1,100
10304,Berkeley Vale,102,Central Coast,1,100
10305,Berkshire Park,124,Sydney - Outer West and Blue Mountains,1,100
10306,Berlang,101,Capital Region,1,100
10307,Bermagui,101,Capital Region,1,100
10308,Berowra,121,Sydney - North Sydney and Hornsby,1,100
10309,Berowra Creek,115,Sydney - Baulkham Hills and Hawkesbury,0.9999994,99.9999375
10310,Berowra Heights,121,Sydney - North Sydney and Hornsby,1,100
10311,Berowra Waters,115,Sydney - Baulkham Hills and Hawkesbury,1,100
10312,Berrambool,101,Capital Region,1,100
10313,Berrara,114,Southern Highlands and Shoalhaven,1,100
10314,Berremangra,101,Capital Region,1,100
10315,Berrico,108,Mid North Coast,1,100
10316,Berridale,101,Capital Region,1,100
10317,Berrigal,110,New England and North West,1,100
10318,Berrigan,109,Murray,1,100
10319,Berrilee,115,Sydney - Baulkham Hills and Hawkesbury,1,100
10320,Berrima,114,Southern Highlands and Shoalhaven,1,100
10321,Berringer Lake,114,Southern Highlands and Shoalhaven,1,100
10322,Berry,114,Southern Highlands and Shoalhaven,1,100
10323,Berry Jerry,113,Riverina,1,100
10324,Berry Mountain,114,Southern Highlands and Shoalhaven,1,100
10325,Berry Park,106,Hunter Valley exc Newcastle,1,100
10326,Berthong,101,Capital Region,1,100
10327,Beryl,103,Central West,1,100
10328,Bethungra,113,Riverina,1,100
10329,Bevendale,101,Capital Region,1,100
10330,Beverley Park,119,Sydney - Inner South West,1,100
10331,Beverly Hills,119,Sydney - Inner South West,1,100
10332,Bewong,114,Southern Highlands and Shoalhaven,1,100
10333,Bexhill,112,Richmond - Tweed,1,100
10334,Bexley,119,Sydney - Inner South West,1,100
10335,Bexley North,119,Sydney - Inner South West,1,100
10336,Biala,101,Capital Region,1,100
10337,Bibbenluke,101,Capital Region,1,100
10338,Biddon,105,Far West and Orana,1,100
10339,Bidgeemia,113,Riverina,1,100
10340,Bidwill (NSW),116,Sydney - Blacktown,1,100
10341,Bielsdown Hills,104,Coffs Harbour - Grafton,1,100
10342,Big Hill (NSW),101,Capital Region,1,100
10343,Big Jacks Creek,110,New England and North West,1,100
10344,Big Ridge,106,Hunter Valley exc Newcastle,1,100
10345,Big Springs,113,Riverina,1,100
10346,Bigga,101,Capital Region,1,100
10347,Bilambil,112,Richmond - Tweed,1,100
10348,Bilambil Heights,112,Richmond - Tweed,1,100
10349,Bilbul,113,Riverina,1,100
10350,Bilgola Beach,122,Sydney - Northern Beaches,1,100
10351,Bilgola Plateau,122,Sydney - Northern Beaches,1,100
10352,Billeroy,105,Far West and Orana,1,100
10353,Billilingra,101,Capital Region,1,100
10354,Billimari,103,Central West,1,100
10355,Billinudgel,112,Richmond - Tweed,1,100
10356,Billys Creek,104,Coffs Harbour - Grafton,1,100
10357,Billywillinga,103,Central West,1,100
10358,Bilpin,115,Sydney - Baulkham Hills and Hawkesbury,1,100
10359,Bimberi,113,Riverina,1,100
10360,Bimbi,103,Central West,1,100
10361,Bimbimbie,101,Capital Region,1,100
10362,Binalong,101,Capital Region,1,100
10363,Binda,101,Capital Region,1,100
10364,Bindera,108,Mid North Coast,1,100
10365,Bingara,110,New England and North West,1,100
10366,Bingeebeebra Creek,112,Richmond - Tweed,1,100
10367,Bingie,101,Capital Region,1,100
10368,Bingleburra,106,Hunter Valley exc Newcastle,1,100
10369,Biniguy,110,New England and North West,1,100
10370,Binjura,101,Capital Region,1,100
10371,Binna Burra (NSW),112,Richmond - Tweed,1,100
10372,Binnaway,105,Far West and Orana,1,100
10373,Binya,113,Riverina,1,100
10374,Birchgrove,120,Sydney - Inner West,1,100
10375,Birdwood (NSW),108,Mid North Coast,1,100
10376,Birganbigil,109,Murray,1,100
10377,Birmingham Gardens,111,Newcastle and Lake Macquarie,1,100
10378,Birriwa,103,Central West,1,100
10379,Birrong,119,Sydney - Inner South West,1,100
10380,Bishops Bridge,106,Hunter Valley exc Newcastle,1,100
10381,Bithramere,110,New England and North West,1,100
10382,Black Creek (Port Macquarie-Hastings - NSW),108,Mid North Coast,1,100
10383,Black Creek (Snowy Valleys - NSW),113,Riverina,1,100
10384,Black Head,108,Mid North Coast,1,100
10385,Black Hill (NSW),106,Hunter Valley exc Newcastle,0.3703705,37.0370455
10385,Black Hill (NSW),111,Newcastle and Lake Macquarie,0.6296295,62.9629545
10386,Black Hollow,105,Far West and Orana,1,100
10387,Black Mountain (NSW),110,New England and North West,1,100
10388,Black Range (NSW),101,Capital Region,1,100
10389,Black Springs (NSW),103,Central West,1,100
10390,Blackalls Park,111,Newcastle and Lake Macquarie,1,100
10391,Blackbutt (NSW),107,Illawarra,1,100
10392,Blackett,116,Sydney - Blacktown,1,100
10393,Blackheath,124,Sydney - Outer West and Blue Mountains,1,100
10394,Blackmans Flat,103,Central West,1,100
10395,Blackmans Point,108,Mid North Coast,1,100
10396,Blacksmiths,111,Newcastle and Lake Macquarie,1,100
10397,Blacktown,116,Sydney - Blacktown,1,100
10398,Blackville,110,New England and North West,1,100
10399,Blackwall (NSW),102,Central Coast,1,100
10400,Blair Athol (NSW),123,Sydney - Outer South West,1,100
10401,Blairmount,123,Sydney - Outer South West,1,100
10402,Blakebrook,112,Richmond - Tweed,1,100
10403,Blakehurst,119,Sydney - Inner South West,1,100
10404,Blakney Creek,101,Capital Region,1,100
10405,Bland,103,Central West,1,100
10406,Blandford,106,Hunter Valley exc Newcastle,1,100
10407,Blaxland (NSW),124,Sydney - Outer West and Blue Mountains,1,100
10408,Blaxlands Creek,104,Coffs Harbour - Grafton,1,100
10409,Blaxlands Ridge,115,Sydney - Baulkham Hills and Hawkesbury,1,100
10410,Blayney,103,Central West,1,100
10411,Bligh Park,124,Sydney - Outer West and Blue Mountains,1,100
10412,Blighty,109,Murray,1,100
10413,Blowering,113,Riverina,1,100
10414,Blue Bay,102,Central Coast,1,100
10415,Blue Haven,102,Central Coast,1,100
10416,Blue Knob,112,Richmond - Tweed,1,100
10417,Blue Mountains National Park,103,Central West,0.030303,3.030303
10417,Blue Mountains National Park,124,Sydney - Outer West and Blue Mountains,0.969697,96.969697
10418,Blue Nobby,110,New England and North West,1,100
10419,Blue Vale,110,New England and North West,1,100
10420,Blueys Beach,108,Mid North Coast,1,100
10421,Boambee,104,Coffs Harbour - Grafton,1,100
10422,Boambee East,104,Coffs Harbour - Grafton,1,100
10423,Boambolo,101,Capital Region,1,100
10424,Boat Harbour (Lismore - NSW),112,Richmond - Tweed,1,100
10425,Boat Harbour (Port Stephens - NSW),106,Hunter Valley exc Newcastle,1,100
10426,Bobadah,103,Central West,0.2499983,24.9998333
10426,Bobadah,105,Far West and Orana,0.7500017,75.0001667
10427,Bobin,108,Mid North Coast,1,100
10428,Bobs Creek,108,Mid North Coast,1,100
10429,Bobs Farm,106,Hunter Valley exc Newcastle,1,100
10430,Bobundara,101,Capital Region,1,100
10431,Boco,101,Capital Region,1,100
10432,Bocoble,103,Central West,1,100
10433,Bocobra,103,Central West,1,100
10434,Bodalla,101,Capital Region,1,100
10435,Bodangora,105,Far West and Orana,1,100
10436,Boeill Creek,109,Murray,1,100
10437,Bogan,105,Far West and Orana,1,100
10438,Bogan Gate,103,Central West,1,100
10439,Bogangar,112,Richmond - Tweed,1,100
10440,Bogee,103,Central West,1,100
10441,Boggabilla,110,New England and North West,1,100
10442,Boggabri,110,New England and North West,1,100
10443,Bogong Peaks Wilderness,113,Riverina,1,100
10444,Bohena Creek,110,New England and North West,1,100
10445,Bohnock,108,Mid North Coast,1,100
10446,Bolaro,101,Capital Region,1,100
10447,Bolivia,110,New England and North West,1,100
10448,Bolong,114,Southern Highlands and Shoalhaven,1,100
10449,Bolton Point,111,Newcastle and Lake Macquarie,1,100
10450,Bolwarra (NSW),106,Hunter Valley exc Newcastle,1,100
10451,Bolwarra Heights,106,Hunter Valley exc Newcastle,1,100
10452,Bom Bom,104,Coffs Harbour - Grafton,1,100
10453,Bomaderry,114,Southern Highlands and Shoalhaven,1,100
10454,Bombah Point,108,Mid North Coast,1,100
10455,Bombala,101,Capital Region,1,100
10456,Bombay,101,Capital Region,1,100
10457,Bombira,103,Central West,1,100
10458,Bombo,107,Illawarra,1,100
10459,Bombowlee,113,Riverina,1,100
10460,Bombowlee Creek,113,Riverina,1,100
10461,Bomen,113,Riverina,1,100
10462,Bomera,105,Far West and Orana,1,100
10463,Bonalbo,112,Richmond - Tweed,1,100
10464,Bondi,118,Sydney - Eastern Suburbs,1,100
10465,Bondi Beach,118,Sydney - Eastern Suburbs,1,100
10466,Bondi Forest,101,Capital Region,1,100
10467,Bondi Junction,118,Sydney - Eastern Suburbs,1,100
10468,Bonnells Bay,111,Newcastle and Lake Macquarie,1,100
10469,Bonnet Bay,128,Sydney - Sutherland,1,100
10470,Bonny Hills,108,Mid North Coast,1,100
10471,Bonnyrigg,127,Sydney - South West,1,100
10472,Bonnyrigg Heights,127,Sydney - South West,1,100
10473,Bonshaw (NSW),110,New England and North West,1,100
10474,Bonville,104,Coffs Harbour - Grafton,1,100
10475,Booerie Creek,112,Richmond - Tweed,1,100
10476,Book Book,113,Riverina,1,100
10477,Booker Bay,102,Central Coast,1,100
10478,Bookham,101,Capital Region,1,100
10479,Bookookoorara,110,New England and North West,1,100
10480,Bookram,104,Coffs Harbour - Grafton,1,100
10481,Boolambayte,108,Mid North Coast,1,100
10482,Boolaroo,111,Newcastle and Lake Macquarie,1,100
10483,Boolcarroll,110,New England and North West,1,100
10484,Booligal,109,Murray,1,100
10485,Boolijah,114,Southern Highlands and Shoalhaven,1,100
10486,Boomanoomana,109,Murray,1,100
10487,Boomerang Beach,108,Mid North Coast,1,100
10488,Boomey,103,Central West,1,100
10489,Boomi,110,New England and North West,1,100
10490,Boomi Creek,112,Richmond - Tweed,1,100
10491,Boona Mount,103,Central West,1,100
10492,Boonal,110,New England and North West,1,100
10493,Boonoo Boonoo,110,New England and North West,1,100
10494,Boorabee Park,112,Richmond - Tweed,1,100
10495,Booragul,111,Newcastle and Lake Macquarie,1,100
10496,Booral (NSW),108,Mid North Coast,1,100
10497,Boorga,113,Riverina,1,100
10498,Boorganna,108,Mid North Coast,1,100
10499,Boorolong,110,New England and North West,1,100
10500,Boorook,110,New England and North West,1,100
10501,Boorooma,113,Riverina,1,100
10502,Booroorban,109,Murray,1,100
10503,Boorowa,101,Capital Region,1,100
10504,Bootawa,108,Mid North Coast,1,100
10505,Booti Booti,108,Mid North Coast,1,100
10506,Booyong,112,Richmond - Tweed,1,100
10507,Bora Ridge,112,Richmond - Tweed,1,100
10508,Borah Creek,110,New England and North West,1,100
10509,Borambola,113,Riverina,1,100
10510,Border Ranges,112,Richmond - Tweed,1,100
10511,Boree,103,Central West,1,100
10512,Boree Creek,113,Riverina,1,100
10513,Borenore,103,Central West,1,100
10514,Boro,101,Capital Region,1,100
10515,Bossley Park,127,Sydney - South West,1,100
10516,Bostobrick,104,Coffs Harbour - Grafton,1,100
10517,Botany,117,Sydney - City and Inner South,1,100
10518,Botobolar,103,Central West,1,100
10519,Bottle Creek,112,Richmond - Tweed,1,100
10520,Bouddi,102,Central Coast,1,100
10521,Bourbah,105,Far West and Orana,1,100
10522,Bourke,105,Far West and Orana,1,100
