SSC_CODE_2016,SSC_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,RATIO,PERCENTAGE
30570,Cecil Plains,307,Darling Downs - Maranoa,1,100
30571,Cedar Creek (Gold Coast - Qld),309,Gold Coast,0.5245511,52.4551067
30571,Cedar Creek (Gold Coast - Qld),311,Logan - Beaudesert,0.4754489,47.5448933
30572,Cedar Creek (Moreton Bay - Qld),314,Moreton Bay - South,1,100
30573,Cedar Grove,311,Logan - Beaudesert,1,100
30574,Cedar Pocket,319,Wide Bay,1,100
30575,Cedar Vale,311,Logan - Beaudesert,1,100
30576,Cedarton,313,Moreton Bay - North,1,100
30577,Cement Mills,307,Darling Downs - Maranoa,1,100
30578,Centenary Heights,317,Toowoomba,1,100
30579,Ceratodus,319,Wide Bay,1,100
30580,Chahpingah,319,Wide Bay,1,100
30581,Chambers Flat,311,Logan - Beaudesert,1,100
30582,Chances Plain,307,Darling Downs - Maranoa,1,100
30583,Chandler (Qld),301,Brisbane - East,1,100
30584,Chapel Hill (Qld),304,Brisbane - West,1,100
30585,Charlestown (Qld),319,Wide Bay,1,100
30586,Charleville,315,Queensland - Outback,1,100
30587,Charlton (Qld),317,Toowoomba,1,100
30588,Charlwood,310,Ipswich,1,100
30589,Charters Towers City,318,Townsville,1,100
30590,Chatsworth (Qld),319,Wide Bay,1,100
30591,Cheeseborough,308,Central Queensland,1,100
30592,Chelmer,304,Brisbane - West,1,100
30593,Chelmsford,319,Wide Bay,1,100
30594,Chelona,312,Mackay - Isaac - Whitsunday,1,100
30595,Cheltenham (Qld),319,Wide Bay,1,100
30596,Cherbourg,319,Wide Bay,1,100
30597,Chermside,302,Brisbane - North,1,100
30598,Chermside West,302,Brisbane - North,1,100
30599,Cherry Creek,307,Darling Downs - Maranoa,1,100
30600,Cherry Gully,307,Darling Downs - Maranoa,1,100
30601,Cherwell,319,Wide Bay,1,100
30602,Chevallum,316,Sunshine Coast,1,100
30603,Chewko,315,Queensland - Outback,1,100
30604,Childers (Qld),319,Wide Bay,1,100
30605,Chillagoe,315,Queensland - Outback,1,100
30606,Chinchilla,307,Darling Downs - Maranoa,1,100
30607,Chinghee Creek,311,Logan - Beaudesert,1,100
30608,Chirnside,308,Central Queensland,1,100
30609,Chorregon,315,Queensland - Outback,1,100
30610,Christmas Creek,311,Logan - Beaudesert,1,100
30611,Churchable,310,Ipswich,1,100
30612,Churchill (Qld),310,Ipswich,1,100
30613,Chuwar,310,Ipswich,1,100
30614,Cinnabar,319,Wide Bay,1,100
